uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
e6c64a6d-ad76-48fd-a4ea-d86f30ffe213,394103390,2026-08-23 10:29:37-06:00,2026-08-23,-105.6836388633,40.3425191758,2940.0,,,,,,,,Boletus rubriceps,"Estes Park, CO 80517, USA",1
f537a6d2-ccdb-4a29-8fed-31b480031bdd,393986971,2026-08-23 08:56:06-06:00,2026-08-23,-105.7715194444,39.5769,3363.0,,,,,,,,Boletus rubriceps,"Dillon, CO 80435, USA",1
6f010f23-f2dc-4e25-ae3f-3300c4258f79,393982848,2026-08-23 12:36:32-06:00,2026-08-23,-105.7715611111,39.5765083333,3363.0,,,,,,,,Boletus rubriceps,"Dillon, CO 80435, USA",1
e797f178-4a27-45fb-b153-dcf043cd0bd8,393544506,2026-08-21 15:50:55-06:00,2026-08-21,-105.6372199,39.6166233,3480.0,,,,,,,,Boletus rubriceps,"Golden, CO 80439, USA",1
7d015a6a-3838-492a-82a3-2fb01db4f558,393461323,2026-08-17 17:50:08-06:00,2026-08-17,-105.9585416667,40.551545,2841.0,,2.0,26.0,0.0,5.0,,,Boletus rubriceps,"Jackson County, US-CO, US",1
2a86d463-83e2-478d-a3d9-4e591ad932f3,393371346,2026-08-15 12:10:00-06:00,2026-08-15,-105.6414555556,40.3992111111,2802.0,,8.1,24.9,0.9,5.1,,,Boletus rubriceps,"Larimer County, CO, USA",1
55a393b5-72f0-4173-a37b-c82fc318ec2a,393171805,2026-08-20 11:36:57-06:00,2026-08-20,-105.6414540858,40.2904328239,3057.0,,,,,,,,Boletus rubriceps,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",1
a846f8ef-c33c-42a5-8d94-cfd1d4361c41,392840458,2026-08-18 18:42:45-06:00,2026-08-18,-108.183355,37.8140133333,3273.0,,7.3,25.2,0.6,11.4,,1020.9,Boletus rubriceps,"Dolores, CO, US",1
3c2c9bce-4cee-4465-8552-9cdddb05e35b,392802245,2026-08-14 06:49:18-06:00,2026-08-14,-105.8818921461,40.501360403,3071.0,,8.0,23.0,2.3,6.6,,,Boletus rubriceps,"Rocky Mountain National Park, Jackson County, US-CO, US",1
9795437e-cad1-45a1-b4f6-8d75de86ee72,392293065,2026-08-13 10:52:00-06:00,2026-08-13,-107.8995888889,37.8133666667,3101.0,,10.0,17.0,1.8,2.9,,,Boletus rubriceps,"San Miguel County, CO, USA",2
aa0a322d-104e-49e5-972e-7a4e10c6ec37,392182382,2026-08-14 10:53:07-06:00,2026-08-14,-105.9035716667,40.6574666667,2930.0,,8.0,23.0,2.3,6.6,,,Boletus rubriceps,"Rawah Trail, Bellvue, CO, US",1
26122988-3bab-44a4-8e2d-0fb32e75882d,391989289,2026-08-16 12:08:38-06:00,2026-08-16,-106.6356583333,40.6457333333,3044.0,,7.5,28.4,0.0,3.2,,,Boletus rubriceps,"Rainbow Lakes Trail, Walden, CO, US",1
f8e53654-8543-4382-b25b-1c7c9c2a6033,391954804,2026-08-16 15:02:12-06:00,2026-08-16,-105.9124630739,39.4205981837,3248.0,,3.9,22.2,0.2,3.7,,,Boletus rubriceps,"Park County, US-CO, US",1
82839398-144e-467b-ac60-fa43950eaff0,391592023,2026-08-15 12:09:45-06:00,2026-08-15,-105.6415033333,40.3992416667,2802.0,,8.1,24.9,0.9,5.1,,,Boletus rubriceps,"Abandoned Beaver Colony Boardwalk, Estes Park, CO, US",1
35326177-6f56-4ded-b6c7-d1da39597020,391258375,2026-08-14 10:04:47-06:00,2026-08-14,-105.7877116667,40.429425,3461.0,,9.3,25.0,5.5,5.8,,,Boletus rubriceps,"Rocky Mountain, Rocky Mountain National Park, Rocky Mountain National Park, Larimer County, US-CO, US",1
6aac59f7-52bc-435d-b2d4-ac891f0d7f2e,391231554,2026-08-14 08:46:56-06:00,2026-08-14,-107.9827870243,37.8414904993,3841.0,,10.0,19.0,4.5,2.8,,,Boletus rubriceps,"Colorado, US",2
61e08a78-9154-413a-9485-d4dd325171c3,390977110,2026-08-13 13:06:08-06:00,2026-08-13,-108.029673,37.9949349722,2271.0,,10.0,17.0,1.8,2.9,,,Boletus rubriceps,"The Bivi WB, Placerville, CO 81430, USA",1
93cc4d18-9625-488a-94a1-5980059cea0f,390756289,2026-08-09 18:50:33-06:00,2026-08-09,-105.7415377639,39.7448384528,3428.0,,10.0,14.0,0.9,8.7,,,Boletus rubriceps,"Colorado, US",1
